#s done,actual,2.50%,97.5%,trend,overlap 0?,color
"[ ,1,1]",CNAT intercept,-3.373,-0.558,,N,
"[ ,1,2]",CNAT prop exo,-0.928,0.47,,Y,
"[ ,1,3]",CNAT  gastro,1.253,30.372,,N,
"[ ,1,4]",CNAT  symb vac,-1.224,0.783,,Y,
"[ ,1,5]",CNAT  avg symb,-0.294,1.235,,Y,
"[ ,1,6]",CNAT  degr symb,-1.797,0.34,,Y,
"[ ,2,1]",OFAV intercept,-3.351,-0.477,,N,
"[ ,2,2]",OFAV  prop exo,-0.864,0.469,,Y,
"[ ,2,3]",OFAV   gastro,1.33,30.453,,N,
"[ ,2,4]",OFAV   symb vac,-0.453,1.342,,Y,
"[ ,2,5]",OFAV avg symb,-0.331,1.371,,Y,
"[ ,2,6]",OFAV   degr symb,-1.522,-0.096,,N,
"[ ,3,1]",OFRA intercept,-3.42,-0.497,,N,
"[ ,3,2]",OFRA prop exo,-0.832,1.068,,Y,
"[ ,3,3]",OFRA  gastro,1.298,30.716,,N,
"[ ,3,4]",OFRA symb vac,-1.434,1.041,,Y,
"[ ,3,5]",OFRA avg symb,-0.769,1.297,,Y,
"[ ,3,6]",OFRA degr symb,-0.902,1.453,,Y,
"[ ,4,1]",PAST intercept,-3.666,-0.275,,N,
"[ ,4,2]",PAST prop exo,-1.225,1.007,,Y,
"[ ,4,3]",PAST  gastro,1.05,30.56,,N,
"[ ,4,4]",PAST symb vac,-2.072,0.125,,Y,
"[ ,4,5]",PAST avg symb,-0.524,1.578,,Y,
"[ ,4,6]",PAST degr symb,-0.828,1.714,,Y,
"[ ,5,1]",PSTR intercept,-3.234,-0.597,,N,
"[ ,5,2]",PSTR  prop exo,-0.68,0.354,,Y,
"[ ,5,3]",PSTR gastro,1.391,30.571,,N,
"[ ,5,4]",PSTR  symb vac,-0.404,0.724,,Y,
"[ ,5,5]",PSTR  avg symb,-0.569,0.634,,Y,
"[ ,5,6]",PSTR  degr symb,-1.249,0.002,,Y,