#s done,actual,10%,90%,trend,overlap 0?,color
"[ ,1,1]",OFRA intercept,7.372937,-2.221716,,Y,
"[ ,1,2]",OFRA prop exo,-0.1146533,3.4208293,,Y,
"[ ,1,3]",OFRA gastro,-14.471838,-2.013122,,N,
"[ ,1,4]",OFRA symb vac,-1.896076,3.045745,,Y,
"[ ,1,5]",OFRA avg symb,-6.3187168,-0.1137385,,N,
"[ ,1,6]",OFRA degr symb,1.163985,16.018049,,N,
"[ ,2,1]",PAST intercept,-9.689031,-1.695599,,N,
"[ ,2,2]",PAST prop exo,0.2598418,3.9518387,,N,
"[ ,2,3]",PAST gastro,-14.9768018,-0.8965448,,N,
"[ ,2,4]",PAST symb vac,-8.966183,-1.305773,,N,
"[ ,2,5]",PAST avg symb,-0.9605492,1.537982,,Y,
"[ ,2,6]",PAST degr symb,1.593373,16.695815,,N,