Individual,Site,species,Sample_Health_State ,colony_health,Colony number,Sample_Date,necrosis_C,vacuolization_C,exocytosis_C,gastro_sep_C,degraded_symb_C,necrosis_I,vacuolization_I,exocytosis_I,gastro_sep_I,degraded_symb_I,score,blown_out_gastro,amoebocytes,loss_of_eosin,loss_of_structure,fungus/sponge,Notes,Initials,date_completed,Pics_taken,measurements,DONE
WPH_66,Turner Point,PAST,HD,D,56,,3,2,3,3,2,2,1,1,1,1,,1,0,0,0,1,,MC,6/26/24,MC,GC ,
WPH_50,Turner Point,PAST,HH,H,57,,3,2,2,3,1,2,1,1,1,1,,1,0,0,0,1,,MC,6/26/24,MC,GC ,
WPH_43,Turner Point,PAST,HH,H,42,,3,2,2,3,1,1,1,2,2,1,,1,0,1,0,1,,MC,6/26/24,MC,GC ,
WPH_39,Turner Point,PAST,HD,D,48,,3,2,3,3,2,2,2,1,2,1,,1,0,1,0,1,,MC,6/26/24,MC,GC ,
WPH_74,Turner Point,OFRA,HH,HP,60,,2,2,1,2,1,1,1,1,1,1,,1,1,0,0,1,,MC,6/26/24,MC,GC ,
WPH_03,Turner Point,OFRA,HD,D,68,,2,1,1,1,1,1,2,1,1,1,,1,0,1,0,1,,MC,6/26/24,MC,GC ,
WPH_21,Turner Point,OFRA,DD,D,49,,1,1,1,1,1,1,2,1,1,1,,1,0,0,0,1,,MC,6/26/24,MC,GC ,
WPH_11,Turner Point,OFRA,HH,H,55,,2,2,1,2,2,1,2,2,1,2,,1,1,1,0,1,,MC,6/26/24,MC,GC ,
WPH_16,Turner Point,OFRA,HD,D,46,,2,3,2,2,1,1,1,1,1,1,,1,1,0,0,1,,MC,6/26/24,MC,GC ,
WPH_75,Turner Point,OFRA,HH,HP,59,,3,3,2,1,1,1,2,2,2,1,,1,0,0,0,1,,MC,6/26/24,MC,GC ,
WPH_10,Turner Point,PAST,HD,D,44,,3,3,3,3,2,2,3,3,2,2,,1,0,1,0,1,,MC,6/26/24,MC,GC ,
WPH_19,Turner Point,OFRA,HH,H,53,,2,2,2,2,2,1,2,1,1,2,,1,0,1,0,1,,MC,6/26/24,MC,GC ,
WPH_79,Turner Point,PAST,HD,D,65,,3,3,3,3,1,2,3,3,1,1,,1,0,1,1,1,,MC,6/26/24,MC,GC ,
WPH_14,Turner Point,OFRA,HH,H,51,,1,2,2,2,2,1,1,1,1,1,,1,0,1,0,0,,MC,6/27/24,MC,GC ,
WPH_06,Turner Point,OFRA,DD,D,68,,2,2,2,2,1,1,2,1,2,1,,1,1,1,0,1,,MC,6/27/24,MC,GC ,
WPH_44,Turner Point,PAST,HH,H,58,,2,3,3,3,1,2,3,2,2,1,,1,0,1,1,1,,MC,6/27/24,MC,GC ,
WPH_20,Turner Point,OFRA,HH,H,52,,3,2,1,2,1,1,2,1,2,1,,1,0,0,0,1,,MC,6/27/24,MC,GC ,
WPH_07,Turner Point,PAST,HD,D,65,,3,3,3,3,2,2,3,3,2,2,,1,0,1,1,1,,MC,6/27/24,MC,GC ,
WPH_72,Turner Point,OFRA,HH,HP,64,,1,2,1,2,2,1,1,1,1,2,,1,0,0,0,1,,MC,6/27/24,MC,GC ,
WPH_30,Turner Point,OFRA,HD,D,49,,2,1,1,2,1,1,1,1,1,1,,1,0,0,0,1,,MC,6/27/24,MC,GC ,
WPH_08,Turner Point,PAST,DD,D,48,,3,3,2,3,2,3,3,3,2,2,,1,0,0,1,1,,GC ,6/28/24,GC ,MC,
WPH_31,Turner Point,OFRA,HD,D,31,,2,3,2,2,3,1,2,1,1,2,,1,0,0,0,1,,GC ,6/28/24,GC ,MC,
WPH_28,Turner Point,OFRA,DD,D,50,,2,3,1,2,2,1,2,1,1,2,,1,0,0,0,1,,GC ,6/28/24,GC ,MC,
WPH_34,Turner Point,OFRA,DD,D,41,,2,3,1,2,3,1,2,1,2,2,,1,0,0,0,1,,GC ,6/28/24,GC ,MC,
WPH_68,Turner Point,PAST,DD,D,56,,3,3,3,3,2,2,2,2,2,2,,1,0,0,0,1,,GC ,6/28/24,GC ,MC,
WPH_62,Turner Point,OFRA,HH,HP,43,,2,3,2,2,3,2,2,1,2,3,,1,0,0,0,1,,GC ,6/28/24,GC ,MC,
WPH_65,Turner Point,OFRA,HH,HP,61,,1,3,1,2,3,1,2,1,2,3,,1,0,0,0,1,,GC ,6/28/24,GC ,MC,
WPH_23,Turner Point,OFRA,HD,D,50,,2,3,2,2,2,2,3,2,2,2,,1,0,1,0,1,,GC ,6/28/24,GC ,MC,
WPH_24,Turner Point,OFRA,DD,D,46,,2,2,1,1,2,2,1,1,2,2,,1,0,0,0,1,,GC ,7/8/24,GC ,MC,
WPH_45,Turner Point,PAST,HH,H,63,,3,2,2,2,3,2,2,1,2,3,,1,0,0,0,1,,GC ,7/8/24,GC ,MC,
WPH_71,Turner Point,OFRA,HH,H,66,,2,3,2,3,2,2,3,2,2,2,,1,0,1,0,1,,GC ,7/8/24,GC ,MC,
WPH_09,Turner Point,PAST,HD,D,44,,3,3,2,3,3,3,3,2,2,2,,1,0,1,0,1,,GC ,7/8/24,GC ,MC,
WPH_49,Turner Point,PAST,HH,H,45,,3,3,2,3,3,3,2,2,3,3,,1,0,1,1,1,,GC ,7/8/24,GC ,MC,