X.s.done,species,parameter,X2.50.,X97.5.,trend,overlap.0.,color,disease
"[ ,1,1]",CNAT,intercept,-3.373,-0.558,NA,N,NA,FGB
"[ ,1,2]",CNAT,prop_exo,-0.928,0.47,NA,Y,NA,FGB
"[ ,1,3]",CNAT,gastro,1.253,30.372,NA,N,NA,FGB
"[ ,1,4]",CNAT,symb_vac,-1.224,0.783,NA,Y,NA,FGB
"[ ,1,5]",CNAT,avg_symb,-0.294,1.235,NA,Y,NA,FGB
"[ ,1,6]",CNAT,degr_symb,-1.797,0.34,NA,Y,NA,FGB
"[ ,2,1]",OFAV,intercept,-3.351,-0.477,NA,N,NA,FGB
"[ ,2,2]",OFAV,prop_exo,-0.864,0.469,NA,Y,NA,FGB
"[ ,2,3]",OFAV,gastro,1.33,30.453,NA,N,NA,FGB
"[ ,2,4]",OFAV,symb_vac,-0.453,1.342,NA,Y,NA,FGB
"[ ,2,5]",OFAV,avg_symb,-0.331,1.371,NA,Y,NA,FGB
"[ ,2,6]",OFAV,degr_symb,-1.522,-0.096,NA,N,NA,FGB
"[ ,3,1]",OFRA,intercept,-3.42,-0.497,NA,N,NA,FGB
"[ ,3,2]",OFRA,prop_exo,-0.832,1.068,NA,Y,NA,FGB
"[ ,3,3]",OFRA,gastro,1.298,30.716,NA,N,NA,FGB
"[ ,3,4]",OFRA,symb_vac,-1.434,1.041,NA,Y,NA,FGB
"[ ,3,5]",OFRA,avg_symb,-0.769,1.297,NA,Y,NA,FGB
"[ ,3,6]",OFRA,degr_symb,-0.902,1.453,NA,Y,NA,FGB
"[ ,4,1]",PAST,intercept,-3.666,-0.275,NA,N,NA,FGB
"[ ,4,2]",PAST,prop_exo,-1.225,1.007,NA,Y,NA,FGB
"[ ,4,3]",PAST,gastro,1.05,30.56,NA,N,NA,FGB
"[ ,4,4]",PAST,symb_vac,-2.072,0.125,NA,Y,NA,FGB
"[ ,4,5]",PAST,avg_symb,-0.524,1.578,NA,Y,NA,FGB
"[ ,4,6]",PAST,degr_symb,-0.828,1.714,NA,Y,NA,FGB
"[ ,5,1]",PSTR,intercept,-3.234,-0.597,NA,N,NA,FGB
"[ ,5,2]",PSTR,prop_exo,-0.68,0.354,NA,Y,NA,FGB
"[ ,5,3]",PSTR,gastro,1.391,30.571,NA,N,NA,FGB
"[ ,5,4]",PSTR,symb_vac,-0.404,0.724,NA,Y,NA,FGB
"[ ,5,5]",PSTR,avg_symb,-0.569,0.634,NA,Y,NA,FGB
"[ ,5,6]",PSTR,degr_symb,-1.249,0.002,NA,Y,NA,FGB
"[ ,1,1]",OFRA,intercept,-10.447,-1.204,NA,N,NA,WP
"[ ,1,2]",OFRA,prop_exo,-0.767,5.587,NA,Y,NA,WP
"[ ,1,3]",OFRA,gastro,-16.394,-0.031,NA,N,NA,WP
"[ ,1,4]",OFRA,symb_vac,-2.838,5.685,NA,Y,NA,WP
"[ ,1,5]",OFRA,avg_symb,-10.545,0.437,NA,Y,NA,WP
"[ ,1,6]",OFRA,degr_symb,-1.348,18.064,NA,Y,NA,WP
"[ ,2,1]",PAST,intercept,-13.506,1.123,NA,Y,NA,WP
"[ ,2,2]",PAST,prop_exo,-0.062,9.29,NA,Y,NA,WP
"[ ,2,3]",PAST,gastro,-17.88,6.945,NA,Y,NA,WP
"[ ,2,4]",PAST,symb_vac,-16.542,-0.793,NA,N,NA,WP
"[ ,2,5]",PAST,avg_symb,-1.559,3.02,NA,Y,NA,WP
"[ ,2,6]",PAST,degr_symb,-9.872,17.195,NA,Y,NA,WP
"[ ,1,1]",OFRA,intercept,-9.125,0.466,NA,Y,NA,SCTLD
"[ ,1,2]",OFRA,prop_exo,-0.657,0.697,NA,Y,NA,SCTLD
"[ ,1,3]",OFRA,gastro,-1.095,0.571,NA,Y,NA,SCTLD
"[ ,1,4]",OFRA,symb_vac,-0.353,1.278,NA,Y,NA,SCTLD
"[ ,1,5]",OFRA,avg_symb,-0.03,1.556,NA,Y,NA,SCTLD
"[ ,1,6]",OFRA,degr_symb,1.176,65.967,NA,N,NA,SCTLD